Benchmark,MSVC Median (us),MSVC Mean (us),MSVC StdDev (us),MSVC CV (%),MSVC-PGO Median (us),MSVC-PGO Mean (us),MSVC-PGO StdDev (us),MSVC-PGO CV (%),Clang Median (us),Clang Mean (us),Clang StdDev (us),Clang CV (%),GCC Median (us),GCC Mean (us),GCC StdDev (us),GCC CV (%)
BM_AuHashMap_Lookup_i32_Hit0/512,0.99,0.99,0.00,0.47,0.69,0.69,0.01,1.83,0.58,0.60,0.03,4.21,0.73,0.74,0.02,2.21
BM_AuHashMap_Lookup_i32_Hit0/65536,1.07,1.08,0.02,2.11,0.74,0.74,0.00,0.32,0.72,0.72,0.00,0.46,0.80,0.80,0.00,0.39
BM_AuHashMap_Lookup_i32_Hit100/32768,1.49,1.49,0.00,0.30,1.06,1.06,0.01,0.47,0.94,0.94,0.01,0.56,1.19,1.19,0.00,0.30
BM_AuHashMap_Lookup_i32_Hit100/4096,1.00,1.02,0.03,2.77,0.72,0.72,0.00,0.61,0.62,0.62,0.00,0.30,0.81,0.81,0.01,1.08
BM_AuHashMap_Lookup_i32_Hit100/512,0.95,0.94,0.01,0.93,0.70,0.70,0.01,1.49,0.53,0.54,0.01,2.63,0.77,0.77,0.00,0.61
BM_AuHashMap_Lookup_i32_Hit100/65536,1.61,1.61,0.01,0.36,1.14,1.14,0.00,0.25,1.01,1.01,0.01,0.61,1.27,1.27,0.00,0.00
BM_AuHashMap_Lookup_i32_Hit50/32768,1.37,1.37,0.01,0.74,0.97,0.97,0.00,0.47,0.93,0.92,0.00,0.31,1.09,1.10,0.01,1.14
BM_AuHashMap_Lookup_i32_Hit50/4096,1.20,1.20,0.01,0.47,0.86,0.86,0.00,0.50,0.78,0.78,0.00,0.64,1.00,1.00,0.01,0.92
BM_AuHashMap_Lookup_i32_Hit50/512,1.19,1.19,0.01,0.63,0.84,0.84,0.01,0.95,0.74,0.74,0.01,1.01,0.99,0.99,0.01,1.15
BM_AuHashMap_Lookup_i32_Hit50/65536,1.46,1.46,0.00,0.30,1.03,1.03,0.01,0.51,0.99,0.99,0.00,0.25,1.15,1.15,0.01,0.49
BM_AuHashMap_Mixed_i32/32768,1381.64,1381.64,5.49,0.40,537.11,537.72,1.36,0.25,1035.91,1035.91,4.07,0.39,1086.43,1088.87,3.34,0.31
BM_AuHashMap_Mixed_i32/4096,164.79,164.97,0.41,0.25,61.21,61.41,0.52,0.84,120.85,120.45,0.60,0.50,127.27,126.98,0.39,0.31
BM_AuHashMap_Mixed_i32/512,20.86,20.74,0.21,1.02,8.16,8.20,0.07,0.91,15.21,15.24,0.05,0.31,15.91,16.10,0.37,2.30
BM_AuHashMap_Mixed_i32/65536,3835.43,3478.03,489.38,14.07,1195.21,1377.85,404.65,29.37,3121.51,2943.64,388.06,13.18,2999.07,2992.44,9.08,0.30
BM_AuResult_ErrorRate_1pct/1024/1,3.91,3.91,0.00,0.05,4.28,4.28,0.01,0.25,3.03,3.03,0.00,0.06,3.19,3.19,0.01,0.24
BM_AuResult_ErrorRate_1pct/1024/4,9.93,9.93,0.04,0.40,9.15,9.12,0.05,0.50,8.43,8.44,0.02,0.25,8.41,8.39,0.03,0.30
BM_AuResult_ErrorRate_1pct/1024/8,18.99,18.99,0.07,0.39,19.82,19.78,0.06,0.31,16.30,16.28,0.04,0.25,15.37,15.38,0.07,0.47
BM_AuResult_ErrorRate_1pct/16384/1,63.13,63.06,0.16,0.25,69.06,68.90,0.21,0.31,48.92,49.19,0.38,0.78,51.06,50.89,0.25,0.49
BM_AuResult_ErrorRate_1pct/16384/4,160.97,161.15,0.40,0.25,147.44,147.78,0.45,0.31,136.58,136.42,0.34,0.25,135.03,135.33,0.42,0.31
BM_AuResult_ErrorRate_1pct/16384/8,306.47,305.81,0.91,0.30,320.87,320.52,1.91,0.60,263.85,263.26,0.81,0.31,249.72,249.16,0.76,0.31
BM_AuResult_ErrorRate_25pct/1024/1,6.91,6.91,0.02,0.25,7.18,7.16,0.02,0.31,5.56,5.66,0.24,4.31,4.60,4.60,0.01,0.25
BM_AuResult_ErrorRate_25pct/1024/4,15.30,15.31,0.04,0.25,16.08,16.09,0.04,0.25,13.81,13.78,0.04,0.30,13.34,13.36,0.03,0.25
BM_AuResult_ErrorRate_25pct/1024/8,27.57,27.57,0.01,0.04,30.48,30.55,0.15,0.49,27.13,27.07,0.08,0.30,24.41,24.47,0.08,0.31
BM_AuResult_ErrorRate_25pct/16384/1,115.21,115.46,0.35,0.30,117.06,116.80,0.36,0.31,99.89,100.11,0.31,0.31,86.43,86.23,0.27,0.31
BM_AuResult_ErrorRate_25pct/16384/4,248.33,247.77,0.76,0.31,260.89,260.89,0.39,0.15,223.64,224.17,1.49,0.67,217.63,216.95,1.01,0.47
BM_AuResult_ErrorRate_25pct/16384/8,442.53,443.03,1.13,0.26,491.91,492.45,1.21,0.25,437.01,436.52,1.09,0.25,394.55,394.98,0.97,0.25
BM_AuResult_ErrorRate_50pct/1024/1,9.26,9.27,0.04,0.46,9.83,9.82,0.02,0.25,8.12,8.12,0.01,0.09,5.65,5.65,0.02,0.40
BM_AuResult_ErrorRate_50pct/1024/4,20.87,21.09,0.56,2.66,23.15,23.20,0.07,0.31,21.12,21.09,0.05,0.26,18.21,18.17,0.06,0.30
BM_AuResult_ErrorRate_50pct/1024/8,35.99,36.08,0.11,0.32,42.24,42.29,0.11,0.26,40.35,40.35,0.16,0.40,33.76,33.84,0.11,0.31
BM_AuResult_ErrorRate_50pct/16384/1,153.65,154.00,0.47,0.31,163.88,163.69,0.41,0.25,141.25,143.29,4.14,2.89,109.86,110.11,0.34,0.31
BM_AuResult_ErrorRate_50pct/16384/4,333.26,334.00,1.00,0.30,372.47,372.89,0.94,0.25,335.10,348.65,18.57,5.33,291.56,290.90,0.91,0.31
BM_AuResult_ErrorRate_50pct/16384/8,577.51,577.51,2.28,0.40,674.95,674.20,1.68,0.25,643.45,642.73,1.60,0.25,542.47,543.66,1.62,0.30
BM_AuResult_ErrorRate_5pct/1024/1,4.35,4.36,0.03,0.75,4.68,4.69,0.01,0.31,3.45,3.46,0.02,0.46,3.47,3.47,0.00,0.00
BM_AuResult_ErrorRate_5pct/1024/4,10.83,10.87,0.12,1.08,10.14,10.17,0.03,0.31,9.20,9.19,0.02,0.25,9.00,9.03,0.05,0.50
BM_AuResult_ErrorRate_5pct/1024/8,20.40,20.38,0.05,0.25,21.31,21.31,0.00,0.02,17.79,17.75,0.05,0.31,16.61,16.63,0.04,0.25
BM_AuResult_ErrorRate_5pct/16384/1,72.19,72.03,0.22,0.30,77.33,77.25,0.19,0.25,57.65,57.65,0.01,0.02,57.13,57.19,0.14,0.25
BM_AuResult_ErrorRate_5pct/16384/4,176.76,178.91,5.37,3.00,167.62,167.80,0.79,0.47,150.55,150.55,0.04,0.03,148.27,148.44,0.37,0.25
BM_AuResult_ErrorRate_5pct/16384/8,329.60,329.97,0.82,0.25,350.97,352.17,3.91,1.11,293.48,292.85,0.86,0.29,273.08,273.08,1.11,0.41
BM_AuResult_HappyPath/1024/1,3.84,3.83,0.01,0.31,4.19,4.19,0.02,0.40,2.95,2.95,0.01,0.25,3.09,3.08,0.01,0.25
BM_AuResult_HappyPath/1024/4,9.67,9.68,0.02,0.25,8.95,8.94,0.02,0.25,8.29,8.29,0.00,0.03,8.16,8.17,0.02,0.25
